source,target,weight
Administrative Science Quarterly,Administrative Science Quarterly,0.307743658
Administrative Science Quarterly,Organization Science,0.212283044
Information Systems Research,Information Systems Research,0.269546545
Information Systems Research,Management Science,0.202349375
Journal of Accounting Research,The Journal of Finance,0.430789133
Journal of Consumer Research,Journal of Consumer Research,0.678437889
Journal of Financial and Quantitative Analysis,The Journal of Finance,0.460815367
Journal of Management Information Systems,Information Systems Research,0.268403171
Journal of Management Studies,Journal of Management Studies,0.218657817
Journal of Marketing,Journal of Marketing,0.339985745
Journal of Marketing,Journal of Marketing Research,0.200997862
Journal of Marketing Research,Journal of Marketing Research,0.239549255
Journal of Marketing Research,Journal of Consumer Research,0.203562341
Management Science,Management Science,0.26196413
Manufacturing & Service Operations Management,Management Science,0.401532078
Manufacturing & Service Operations Management,Operations Research,0.216246409
Marketing Science,Marketing Science,0.411471322
Marketing Science,Journal of Marketing Research,0.206982544
Operations Research,Operations Research,0.44593519
Operations Research,Management Science,0.322114838
Organization Studies,Organization Science,0.210768221
Organization Studies,Administrative Science Quarterly,0.219960604
Production and Operations Management,Management Science,0.445901639
The Journal of Finance,The Journal of Finance,0.368951613
