target	Administrative_Science_Quarterly	Information_Systems_Research	Journal_of_Consumer_Research	Journal_of_Management_Studies	Journal_of_Marketing	Journal_of_Marketing_Research	Management_Science	Marketing_Science	Operations_Research	Organization_Science	The_Journal_of_Finance
Administrative_Science_Quarterly	31	0	0	0	0	0	0	0	0	21	0
Information_Systems_Research	0	27	0	0	0	0	20	0	0	0	0
Journal_of_Accounting_Research	0	0	0	0	0	0	0	0	0	0	43
Journal_of_Consumer_Research	0	0	68	0	0	0	0	0	0	0	0
Journal_of_Financial_and_Quantitative_Analysis	0	0	0	0	0	0	0	0	0	0	46
Journal_of_Management_Information_Systems	0	27	0	0	0	0	0	0	0	0	0
Journal_of_Management_Studies	0	0	0	22	0	0	0	0	0	0	0
Journal_of_Marketing	0	0	0	0	34	20	0	0	0	0	0
Journal_of_Marketing_Research	0	0	20	0	0	24	0	0	0	0	0
Management_Science	0	0	0	0	0	0	26	0	0	0	0
Manufacturing_&_Service_Operations_Management	0	0	0	0	0	0	40	0	22	0	0
Marketing_Science	0	0	0	0	0	21	0	41	0	0	0
Operations_Research	0	0	0	0	0	0	32	0	45	0	0
Organization_Studies	22	0	0	0	0	0	0	0	0	21	0
Production_and_Operations_Management	0	0	0	0	0	0	45	0	0	0	0
The_Journal_of_Finance	0	0	0	0	0	0	0	0	0	0	37
